Home,SqFt,Bedrooms,Bathrooms,Offers,Neighborhood,Price
1,1790,2,2,2,East,114300
2,2030,4,2,3,East,114200
3,1740,3,2,1,East,114800
4,1980,3,2,3,East,94700
5,2130,3,3,3,East,119800
6,1780,3,2,2,North,114600
7,1830,3,3,3,West,151600
8,2160,4,2,2,West,150700
9,2110,4,2,3,East,119200
10,1730,3,3,3,East,104000
11,2030,3,2,3,East,132500
12,1870,2,2,2,East,123000
13,1910,3,2,4,North,102600
14,2150,3,3,5,North,126300
15,2590,4,3,4,West,176800
16,1780,4,2,1,West,145800
17,2190,3,3,4,East,147100
18,1990,3,3,4,North,83600
19,1700,2,2,1,East,111400
20,1920,3,3,2,West,167200
21,1790,3,2,3,East,116200
22,2000,3,2,4,North,113800
23,1690,3,2,3,North,91700
24,1820,3,2,3,North,106100
25,2210,4,3,2,East,156400
26,2290,4,3,3,North,149300
27,2000,4,2,3,West,137000
28,1700,3,2,2,East,99300
29,1600,2,2,3,North,69100
30,2040,4,3,1,West,188000
31,2250,4,3,3,West,182000
32,1930,2,2,2,North,112300
33,2250,3,3,3,East,135000
34,2280,5,3,4,East,139600
35,2000,2,2,3,North,117800
36,2080,3,3,3,North,117100
37,1880,2,2,2,North,117500
38,2420,4,3,4,West,147000
39,1720,3,2,1,West,131300
40,1740,3,2,2,North,108200
41,1560,2,2,1,East,106600
42,1840,4,3,2,West,133600
43,1990,2,2,3,East,105600
44,1920,3,2,1,East,154000
45,1940,3,3,2,West,166500
46,1810,3,2,3,East,103200
47,1990,2,3,2,North,129800
48,2050,3,2,6,North,90300
49,1980,2,2,2,East,115900
50,1700,3,2,3,North,107500
51,2100,3,2,3,East,151100
52,1860,2,2,3,North,91100
53,2150,2,3,4,North,117400
54,2100,3,2,3,North,130800
55,1650,3,2,3,North,81300
56,1720,2,2,2,East,125700
57,2190,3,2,3,East,140900
58,2240,4,3,3,West,152300
59,1840,3,3,1,West,138100
60,2090,4,2,1,West,155400
61,2200,3,3,1,West,180900
62,1610,2,2,2,North,100900
63,2220,4,3,2,West,161300
64,1910,2,3,2,East,120500
65,1860,3,2,2,West,130300
66,1450,2,2,1,North,111100
67,2210,3,3,4,North,126200
68,2040,4,3,3,East,151900
69,2140,3,2,4,North,93600
70,2080,4,3,3,West,165600
71,1950,3,3,3,West,166700
72,2160,4,2,1,West,157600
73,1650,3,2,3,North,107300
74,2040,3,3,2,East,125700
75,2140,3,3,3,West,144200
76,1900,2,2,2,North,106900
77,1930,3,2,2,West,129800
78,2280,4,3,3,West,176500
79,2130,3,2,3,North,121300
80,1780,4,2,1,West,143600
81,2190,3,3,4,East,143400
82,2140,4,3,2,West,184300
83,2050,2,2,1,West,164800
84,2410,3,3,2,East,147700
85,1520,2,2,3,North,90500
86,2250,4,3,2,West,188300
87,1900,4,2,4,North,102700
88,1880,3,3,1,West,172500
89,1930,3,3,2,North,127700
90,2010,2,2,4,North,97800
91,1920,4,2,2,West,143100
92,2150,3,2,2,East,116500
93,2110,3,2,2,West,142600
94,2080,3,3,2,East,157100
95,2150,4,3,3,West,160600
96,1970,2,2,1,West,152500
97,2440,3,3,3,East,133300
98,2000,2,2,1,East,126800
99,2060,3,2,1,West,145500
100,2080,3,3,2,West,171000
101,2010,3,2,5,North,103200
102,2260,3,3,5,East,123100
103,2410,3,3,4,East,136800
104,2440,4,3,3,West,211200
105,1910,3,2,4,East,82300
106,2530,4,3,4,West,146900
107,2130,3,2,4,North,108500
108,1890,3,2,1,East,134000
109,1990,3,3,3,East,117000
110,2110,3,2,3,East,108700
111,1710,2,2,1,North,111600
112,1740,2,2,2,North,114900
113,1940,2,2,2,East,123600
114,2000,3,2,3,North,115700
115,2010,4,3,2,East,124500
116,1900,3,3,3,North,102500
117,2290,5,4,1,West,199500
118,1920,3,2,2,North,117800
119,1950,3,2,3,North,150200
120,1920,2,2,4,North,109700
121,1930,2,3,3,North,110400
122,1930,3,3,3,East,105600
123,2060,2,2,1,East,144800
124,1900,3,3,3,East,119700
125,2160,4,3,3,East,147900
126,2070,2,2,2,North,113500
127,2020,3,3,1,West,149900
128,2250,3,3,4,North,124600
129,2440,3,3,3,East,133300
130,2000,2,2,1,East,126800
131,2060,3,2,1,West,145500
132,2080,3,3,2,West,171000
133,2010,3,2,5,North,103200
134,2260,3,3,5,East,123100
135,2410,3,3,4,East,136800
136,2440,4,3,3,West,211200
137,1910,3,2,4,East,82300
138,2530,4,3,4,West,146900
139,2130,3,2,4,North,108500
140,1890,3,2,1,East,134000
141,1990,3,3,3,East,117000
142,1940,2,2,2,East,123600
143,2000,3,2,3,North,115700
144,2010,4,3,2,East,124500
145,1900,3,3,3,North,102500
146,2290,5,4,1,West,199500
147,1920,3,2,2,North,117800
148,1950,3,2,3,North,150200
149,1920,2,2,4,North,109700
150,1930,2,3,3,North,110400
151,1930,3,3,3,East,105600
152,2060,2,2,1,East,144800
153,1900,3,3,3,East,119700
154,2160,4,3,3,East,147900
155,2070,2,2,2,North,113500
156,2020,3,3,1,West,149900
157,2250,3,3,4,North,124600
158,2440,3,3,3,East,133300
159,2260,3,3,5,East,123100
160,2410,3,3,4,East,136800
161,2440,4,3,3,West,211200
162,1910,3,2,4,East,82300
163,2530,4,3,4,West,146900
164,2130,3,2,4,North,108500
165,1890,3,2,1,East,134000
166,1990,3,3,3,East,117000
167,1940,2,2,2,East,123600
168,2000,3,2,3,North,115700
169,2010,4,3,2,East,124500
170,1900,3,3,3,North,102500
171,2290,5,4,1,West,199500
172,1920,3,2,2,North,117800
173,1950,3,2,3,North,150200
174,1920,2,2,4,North,109700
175,1930,2,3,3,North,110400
176,1930,3,3,3,East,105600
177,2060,2,2,1,East,144800
178,1890,3,2,1,East,134000
179,1990,3,3,3,East,117000
180,1940,2,2,2,East,123600
181,2000,3,2,3,North,115700
182,2010,4,3,2,East,124500
183,1900,3,3,3,North,102500
184,2290,5,4,1,West,199500
185,1920,3,2,2,North,117800
186,1950,3,3,3,West,166700
187,2160,4,2,1,West,157600
188,1650,3,2,3,North,107300
189,2040,3,3,2,East,125700
190,2140,3,3,3,West,144200
191,1900,2,2,2,North,106900
192,1930,3,2,2,West,129800
193,2280,4,3,3,West,176500
194,2130,3,2,3,North,121300
195,1780,4,2,1,West,143600
196,2190,3,3,4,East,143400
197,2140,4,3,2,West,184300
198,2050,2,2,1,West,164800
199,2410,3,3,2,East,147700
200,1520,2,2,3,North,90500
201,1940,3,3,2,West,166500
202,1810,3,2,3,East,103200
203,1990,2,3,2,North,129800
204,2050,3,2,6,North,90300
205,1980,2,2,2,East,115900
206,1700,3,2,3,North,107500
207,2100,3,2,3,East,151100
208,1860,2,2,3,North,91100
209,2150,2,3,4,North,117400
210,2100,3,2,3,North,130800
211,1650,3,2,3,North,81300
212,1720,2,2,2,East,125700
213,2190,3,2,3,East,140900
214,2240,4,3,3,West,152300
215,1840,3,3,1,West,138100
216,2090,4,2,1,West,155400
217,2200,3,3,1,West,180900
218,1610,2,2,2,North,100900
219,2220,4,3,2,West,161300
220,1910,2,3,2,East,120500
221,1860,3,2,2,West,130300
222,1450,2,2,1,North,111100
223,2210,3,3,4,North,126200
224,2040,4,3,3,East,151900
225,2140,3,2,4,North,93600
226,2080,4,3,3,West,165600
227,1950,3,3,3,West,166700
228,2160,4,2,1,West,157600
229,1650,3,2,3,North,107300
230,2040,3,3,2,East,125700
231,2140,3,3,3,West,144200
232,1900,2,2,2,North,106900
233,1930,3,2,2,West,129800
234,1940,3,3,2,West,166500
235,1810,3,2,3,East,103200
236,1990,2,3,2,North,129800
237,2050,3,2,6,North,90300
238,1980,2,2,2,East,115900
239,1700,3,2,3,North,107500
240,2100,3,2,3,East,151100
241,1860,2,2,3,North,91100
242,2150,2,3,4,North,117400
243,2100,3,2,3,North,130800
244,1650,3,2,3,North,81300
245,1720,2,2,2,East,125700
246,2190,3,2,3,East,140900
247,2240,4,3,3,West,152300
248,1840,3,3,1,West,138100
249,2090,4,2,1,West,155400
250,2200,3,3,1,West,180900
251,1610,2,2,2,North,100900
252,2220,4,3,2,West,161300
253,1910,2,3,2,East,120500
254,1860,3,2,2,West,130300
255,1450,2,2,1,North,111100
256,2210,3,3,4,North,126200
257,2040,4,3,3,East,151900
258,2140,3,2,4,North,93600
259,2080,4,3,3,West,165600
260,1950,3,3,3,West,166700
261,2160,4,2,1,West,157600
262,1650,3,2,3,North,107300
263,2040,3,3,2,East,125700
264,2140,3,3,3,West,144200
265,1900,2,2,2,North,106900
266,1930,3,2,2,West,129800
267,2210,3,3,4,North,126200
268,2040,4,3,3,East,151900
269,2140,3,2,4,North,93600
270,2080,4,3,3,West,165600
271,1950,3,3,3,West,166700
272,2160,4,2,1,West,157600
273,1650,3,2,3,North,107300
274,2040,3,3,2,East,125700
275,2140,3,3,3,West,144200
276,1900,2,2,2,North,106900
277,1930,3,2,2,West,129800
278,2280,4,3,3,West,176500
279,2130,3,2,3,North,121300
280,1780,4,2,1,West,143600
281,2190,3,3,4,East,143400
282,2140,4,3,2,West,184300
283,2050,2,2,1,West,164800
284,2410,3,3,2,East,147700
285,1520,2,2,3,North,90500
286,2250,4,3,2,West,188300
287,1900,4,2,4,North,102700
288,1880,3,3,1,West,172500
289,1930,3,3,2,North,127700
290,2010,2,2,4,North,97800
291,1920,4,2,2,West,143100
292,2150,3,2,2,East,116500
293,2110,3,2,2,West,142600
294,2080,3,3,2,East,157100
295,2150,4,3,3,West,160600
296,1970,2,2,1,West,152500
297,2440,3,3,3,East,133300
298,2000,2,2,1,East,126800
299,2060,3,2,1,West,145500
300,2080,3,3,2,West,171000
301,2010,3,2,5,North,103200
302,2260,3,3,5,East,123100
303,2410,3,3,4,East,136800
304,2440,4,3,3,West,211200
305,1910,3,2,4,East,82300
306,2530,4,3,4,West,146900
307,2130,3,2,4,North,108500
308,1890,3,2,1,East,134000
309,1990,3,3,3,East,117000
310,2110,3,2,3,East,108700
311,1710,2,2,1,North,111600
312,1740,2,2,2,North,114900
313,1940,2,2,2,East,123600
314,2000,3,2,3,North,115700
315,2010,4,3,2,East,124500
316,1900,3,3,3,North,102500
317,2290,5,4,1,West,199500
318,1920,3,2,2,North,117800
319,1950,3,2,3,North,150200
320,1920,2,2,4,North,109700
321,1930,2,3,3,North,110400
322,1930,3,3,3,East,105600
323,2060,2,2,1,East,144800
324,1900,3,3,3,East,119700
325,2160,4,3,3,East,147900
326,2070,2,2,2,North,113500
327,2020,3,3,1,West,149900
328,2250,3,3,4,North,124600
329,1840,3,3,4,North,138100
330,2090,4,2,3,East,155400
331,2200,3,3,4,North,180900
332,1610,2,2,3,West,100900
333,2220,4,3,3,West,161300
334,1910,2,3,1,West,120500
335,1860,3,2,3,North,130300
336,1450,2,2,2,East,111100
337,2210,3,3,3,West,126200
338,2040,4,3,2,North,151900
339,2140,3,2,2,West,93600
340,2080,4,3,2,West,165600
341,1950,3,3,3,East,166700
342,2160,4,2,2,North,157600
343,1650,3,2,6,North,107300
344,2040,3,3,2,East,125700
345,2140,3,3,3,North,144200
346,2200,3,3,3,East,180900
347,1610,2,2,3,North,100900
348,2220,4,3,4,North,161300
349,2040,4,3,3,East,151900
350,2140,3,2,3,East,93600
351,2080,4,3,2,North,165600
352,1950,3,3,3,West,166700
353,2160,4,2,2,West,157600
354,1650,3,2,3,East,107300
355,2040,3,3,3,East,125700
356,2140,3,3,3,East,144200
357,1900,2,2,2,East,106900
358,1930,3,2,4,North,129800
359,2280,4,3,5,North,176500
360,2130,3,2,4,West,121300
361,1780,4,2,1,West,143600
362,2190,3,3,4,East,143400
363,2140,4,3,4,North,184300
364,2050,2,2,1,East,164800
365,2410,3,3,2,West,147700
366,1520,2,2,3,East,90500
367,2250,4,3,2,East,188300
368,1900,4,2,3,North,102700
369,1880,3,3,3,East,172500
370,1930,3,3,3,North,127700
371,2010,2,2,4,North,97800
372,1920,4,2,3,North,143100
373,2150,3,2,3,North,116500
374,2110,3,2,2,East,142600
375,2080,3,3,3,East,157100
376,2150,4,3,3,West,160600
377,1970,2,2,1,West,152500
378,2440,3,3,1,West,133300
379,2000,2,2,1,West,126800
380,2060,3,2,2,North,145500
381,2080,3,3,2,West,171000
382,2010,3,2,2,East,103200
383,2260,3,3,2,West,123100
384,2410,3,3,1,North,136800
385,2440,4,3,4,North,211200
386,1910,3,2,3,East,82300
387,2530,4,3,4,North,146900
388,2130,3,2,3,West,108500
389,1890,3,2,3,West,134000
390,1990,3,3,1,West,117000
391,2110,3,2,3,North,108700
392,1710,2,2,2,East,111600
393,1740,2,2,3,West,114900
394,1940,2,2,2,North,123600
395,2000,3,2,2,West,115700
396,2010,4,3,3,West,124500
397,1900,3,3,4,East,102500
398,2290,5,4,4,West,199500
399,1920,3,2,4,North,117800
400,1950,3,2,1,East,150200
401,1920,2,2,3,East,109700
402,1930,2,3,3,East,110400
403,1930,3,3,1,North,105600
404,2060,2,2,2,North,144800
405,1900,3,3,2,East,119700
406,2160,4,3,3,North,147900
407,2070,2,2,2,East,113500
408,2020,3,3,3,North,149900
409,2250,3,3,1,West,124600
410,2440,3,3,2,North,133300
411,2000,2,2,3,North,126800
412,2060,3,2,4,North,145500
413,2080,3,3,3,East,171000
414,2010,3,2,2,North,103200
415,2260,3,3,1,West,123100
416,2410,3,3,4,North,136800
417,2440,4,3,3,East,211200
418,1900,3,3,3,North,119700
419,2160,4,3,4,North,147900
420,2070,2,2,3,North,113500
421,2020,3,3,3,East,149900
422,2250,3,3,1,East,124600
423,2440,3,3,1,East,133300
424,2260,3,3,3,East,123100
425,2410,3,3,2,East,136800
426,2440,4,3,3,North,211200
427,1910,3,2,2,East,82300
428,2530,4,3,3,North,146900
429,2130,3,2,1,West,108500
430,1890,3,2,2,North,134000
431,1990,3,3,3,North,117000
432,1940,2,2,2,West,123600
433,2150,2,3,2,West,117400
434,2100,3,2,2,West,130800
435,1650,3,2,3,East,81300
436,1720,2,2,2,North,125700
437,2190,3,2,6,North,140900
438,2240,4,3,2,East,152300
439,1840,3,3,3,North,138100
440,2090,4,2,3,East,155400
441,2200,3,3,3,North,180900
442,1610,2,2,4,North,100900
443,2220,4,3,3,North,161300
444,1910,2,3,3,North,120500
445,1860,3,2,2,East,130300
446,1450,2,2,3,East,111100
447,2210,3,3,2,North,126200
448,2040,4,3,2,West,151900
449,2140,3,2,2,East,93600
450,2090,4,2,2,East,155400
451,2200,3,3,3,West,180900
452,1610,2,2,2,North,100900
453,2220,4,3,2,North,161300
454,1910,2,3,3,East,120500
455,1860,3,2,3,North,130300
456,1450,2,2,2,West,111100
457,2210,3,3,2,West,126200
458,2040,4,3,3,West,151900
459,2140,3,2,2,North,93600
460,2080,4,3,2,East,165600
461,1950,3,3,3,East,166700
462,2160,4,2,3,North,157600
463,1650,3,2,2,North,107300
464,2040,3,3,3,East,125700
465,2140,3,3,2,North,144200
466,1900,2,2,2,East,106900
467,1930,3,2,3,West,129800
